Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
0,2012,Tyshawn Taylor,41,22.16666667,2012,Guard,190,185,1.027027027,39,5.8,12.2,0.477,4.3,8.3,0.522,1.5,3.9,0.382,3.5,5.1,0.688,2.3,4.8,1.3,0.2,16.6,9.93,0.569,0.538,0.321,0.42,3.1,2.1,5.2
0,2012,Doron Lamb,42,20.58333333,2012,Guard,193,210,0.919047619,40,4.4,9.2,0.474,2.5,5.2,0.481,1.9,4.1,0.466,3.1,3.7,0.826,2.7,1.5,0.5,0.1,13.7,7.93,0.624,0.577,0.442,0.404,4.6,1.6,6.2
2.704255319,2012,Mike Scott,43,23.91666667,2012,Forward,203,237,0.856540084,32,6.7,11.9,0.563,6.5,11.3,0.577,0.2,0.6,0,4.3,5.4,0.808,8.3,1.2,0.7,0.5,18,4.23,0.62,0.571,0.052,0.45,4.2,2.6,6.8
0,2012,Kim English,44,23.75,2012,Guard,198,200,0.99,35,4.9,9.4,0.521,2.7,4.5,0.589,2.2,4.9,0.459,2.5,3.4,0.725,4.2,1.6,1.3,0.3,14.5,5.68,0.658,0.64,0.518,0.366,3.7,1.3,5
2.811428571,2012,Justin Hamilton,45,22.16666667,2012,Center,213,260,0.819230769,33,4.8,9.7,0.494,4.7,9.3,0.503,0.1,0.4,0,3.2,4.2,0.781,7.2,0.9,0.8,1.3,12.9,5.51,0.553,0.498,0.038,0.428,2.6,1.7,4.3
0,2012,Darius Miller,46,22.25,2012,Guard,203,225,0.902222222,40,3.6,7.6,0.474,2.2,3.8,0.569,1.4,3.7,0.376,1.4,1.7,0.797,2.8,2.1,0.8,0.3,9.9,7.93,0.593,0.566,0.493,0.228,2.9,1.6,4.5
0,2012,Kevin Murphy,47,22.25,2012,Guard,201,185,1.086486486,33,7.2,16.3,0.444,4.8,10.5,0.46,2.4,5.8,0.416,3.8,5.2,0.721,5.2,2.3,0.8,0.2,20.6,-3.06,0.549,0.518,0.353,0.32,2.7,0.9,3.7
2.985641026,2012,Kyle O'Quinn,49,22.25,2012,Center,208,240,0.866666667,36,5.7,9.9,0.573,5.5,9.1,0.61,0.2,0.9,0,4.3,6.2,0.696,10.3,1.4,0.7,2.7,15.9,-5.39,0.616,0.581,0.089,0.626,3.7,2.5,6.2
0,2012,Kris Joseph,51,23.5,2012,Forward,201,210,0.957142857,37,4.4,10.5,0.421,3.1,6.5,0.467,1.4,4,0.345,3.2,4.2,0.745,4.7,1.5,1.4,0.6,13.4,8.02,0.534,0.486,0.379,0.403,3,2,5
0,2012,Darius Johnson-Odom,55,22.75,2012,Guard,188,215,0.874418605,34,6.2,13.8,0.447,3.9,7.9,0.493,2.3,5.9,0.385,3.7,4.9,0.764,3.5,2.7,0.9,0.1,18.3,7.5,0.568,0.529,0.426,0.351,3.1,1.5,4.7
1.589795918,2012,Robbie Hummel,58,23.25,2012,Forward,203,215,0.944186047,35,5.5,13.3,0.417,3.5,7.9,0.44,2.1,5.4,0.383,3.2,3.9,0.825,7.2,1.9,0.7,1.2,16.4,8.05,0.54,0.495,0.404,0.295,4.2,1.4,5.6
0,2012,Marcus Denmon,59,22.25,2012,Guard,190,185,1.027027027,35,5.7,12.4,0.46,2.9,5.5,0.526,2.8,6.9,0.407,3.4,3.8,0.896,5,2.1,1.5,0,17.7,5.68,0.621,0.574,0.559,0.308,5.2,1.5,6.7
1.305732484,2012,Robert Sacre,60,23,2012,Center,213,260,0.819230769,33,3.5,6.9,0.511,3.5,6.9,0.515,0,0.1,0,4.5,6,0.761,6.3,0.7,0.4,1.4,11.6,3.25,0.595,0.511,0.009,0.86,2.6,1.6,4.2
