Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
5.624793388,2010,Larry Sanders,15,21.58333333,2010,Forward,208,235,0.885106383,35,5.6,10.5,0.534,5.5,10,0.547,0.1,0.5,0,3.1,4.8,0.641,9.1,1,0.7,2.6,14.4,0.64,0.563,0.54,0.044,0.455,3.2,2.2,5.4
2.035036496,2010,Luke Babbitt,16,21,2010,Forward,206,225,0.915555556,34,7.4,14.8,0.5,6.1,11.8,0.521,1.2,3,0.416,5.9,6.4,0.917,8.9,2.1,1,0.8,21.9,2.56,0.614,0.542,0.201,0.432,5.4,1.3,6.7
0,2010,Craig Brackins,21,22.66666667,2010,Forward,208,230,0.904347826,32,6,14.3,0.42,5.2,11.6,0.446,0.8,2.7,0.31,3.7,4.8,0.76,8.5,2.2,0.8,1.2,16.5,8.37,0.498,0.45,0.19,0.337,2.2,1.8,4
4.630588235,2010,Trevor Booker,23,22.58333333,2010,Forward,201,240,0.8375,32,5.9,11.3,0.521,5.6,10.2,0.547,0.3,1.1,0.265,3.2,5.3,0.591,8.4,2.5,1.3,1.4,15.2,7.9,0.549,0.533,0.094,0.474,3,2.5,5.5
0,2010,Damion James,24,22.66666667,2010,Forward,201,225,0.893333333,34,6.2,12.3,0.501,5.1,9.6,0.535,1.1,2.8,0.383,4.6,6.8,0.674,10.3,1,1.7,1.2,18,7.38,0.578,0.544,0.224,0.549,3.8,2.7,6.5
3.577181208,2010,Quincy Pondexter,26,22.25,2010,Forward,201,215,0.934883721,36,6.8,12.9,0.528,6.3,11.5,0.55,0.5,1.4,0.353,5.2,6.3,0.827,7.4,1.8,1.3,0.6,19.3,7.49,0.608,0.547,0.11,0.487,5.2,2,7.3
0,2010,Daniel Orton,29,19.83333333,2010,Forward,211,255,0.82745098,38,1.3,2.4,0.527,1.3,2.3,0.539,0,0.1,0,0.9,1.7,0.524,3.3,0.4,0.6,1.4,3.4,6.82,0.533,0.527,0.022,0.692,0.3,1.3,1.7
0.341666667,2010,Lazar Hayward,30,23.58333333,2010,Forward,198,225,0.88,34,6.5,15.1,0.432,4.6,9.6,0.479,1.9,5.5,0.349,3.1,3.7,0.843,7.5,1.5,1.9,0.5,18.1,8.23,0.536,0.495,0.362,0.247,3.2,2.2,5.4
0,2010,Darington Hobson,37,22.75,2010,Forward,201,205,0.980487805,35,5.5,12.5,0.44,4.4,9.5,0.465,1.1,3.1,0.361,3.7,5.7,0.653,9.3,4.6,1.3,0.4,15.9,3.84,0.52,0.484,0.246,0.453,3,2.2,5.2
0.775675676,2010,Lance Stephenson,40,19.75,2010,Forward,196,210,0.933333333,34,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,5.4,2.5,0.9,0.2,12.3,8.45,0.493,0.462,0.198,0.323,1.4,1.3,2.8
0,2010,Jarvis Varnado,41,22.25,2010,Forward,206,230,0.895652174,36,5.1,8.8,0.582,5.1,8.8,0.582,0,0,0,3.6,5.8,0.61,10.3,0.9,0.7,4.7,13.8,4.6,0.597,0.582,0,0.665,3.1,3.2,6.3
0,2010,Devin Ebanks,43,20.66666667,2010,Forward,206,215,0.958139535,34,4.2,9.3,0.457,4.1,8.4,0.495,0.1,0.9,0,3.4,4.5,0.77,8.1,2.4,1.1,0.7,12,10.26,0.527,0.462,0.095,0.483,2.6,2.1,4.6
0,2010,Gani Lawal,46,21.58333333,2010,Forward,206,234,0.88034188,36,4.8,9,0.529,4.8,9,0.531,0,0,0,3.5,6.2,0.572,8.5,0.4,0.4,1.4,13.1,9.02,0.547,0.529,0.003,0.683,1.9,2.2,4.1
0,2010,Luke Harangody,52,22.41666667,2010,Forward,203,246,0.825203252,30,8.1,16.9,0.481,7.3,14.2,0.514,0.8,2.7,0.309,4.7,5.9,0.787,9.1,1.6,0.5,0.7,21.8,6.22,0.552,0.506,0.16,0.351,4,1,5.1
2.857575758,2010,Jeremy Evans,55,22.66666667,2010,Forward,206,196,1.051020408,34,4,6.2,0.649,3.9,5.9,0.673,0.1,0.4,0,1.9,2.7,0.688,6.9,0.7,0.8,1.8,10,-2.18,0.668,0.656,0.057,0.441,3.2,1.6,4.9
0,2010,Derrick Caracter,58,22.08333333,2010,Forward,206,275,0.749090909,27,5.5,9.7,0.567,5.3,9.1,0.585,0.1,0.6,0,3,4.4,0.672,8.1,1.1,1,0.9,14.1,1.96,0.598,0.575,0.057,0.456,1.6,1.8,3.4
0,2010,Dwayne Collins,60,22.16666667,2010,Forward,203,241,0.842323651,29,4.4,7.3,0.604,4.4,7.3,0.604,0,0,0,3.1,5.5,0.569,7.8,1.2,0.6,1.1,12,7.01,0.602,0.604,0,0.755,1.9,1.4,3.3
