Ln Peak WS,Name,Draft Year,Pick,Draft Age,Position,Height (cm),Weight (lbs),Games,Games Started Percentage,Minutes Played,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Total Rebound Percentage,Assist Percentage,Block Percentage,Turnover Percentage,Usage Rate,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 40 Minutes,MM Games Played,MM Final Four,MM Champ,MM Games Started Percentage,MM Minutes Played,MM Field Goals Per Game,MM Field Goal Attempts Per Game,MM Field Goal Percentage,MM 2-Point Field Goals Per Game,MM 2-Point Field Goal Attempts Per Game,MM 2-Point Field Goal Percentage,MM 3-Point Field Goals Per Game,MM 3-Point Field Goal Attempts Per Game,MM 3-Point Field Goal Percentage,MM Free Throws Per Game,MM Free Throw Attempts Per Game,MM Free Throw Percentage,MM Offensive Rebounds Per Game,MM Defensive Rebounds Per Game,MM Total Rebounds Per Game,MM Assists Per Game,MM Steals Per Game,MM Blocks Per Game,MM Turnovers Per Game,MM Personal Fouls Per Game,MM Points Per Game,MM Points Delta,MM Rebounds Delta,MM Assists Delta,MM Steals Delta,MM Blocks Delta,MM Points Delta Squared,MM Rebounds Delta Squared,MM Assists Delta Squared,MM Steals Delta Squared,MM Blocks Delta Squared
0.556571646,Sam Dekker,2015,18,21.08333333,Forward,206,230,40,1,31,5.3,10.2,0.525,4.1,6.4,0.639,1.3,3.8,0.331,2,2.8,0.708,1.9,3.6,5.5,1.2,0.5,0.5,0.9,1.1,13.9,10.29,0.605,0.586,0.372,0.278,11.7,8.6,1.5,7.3,23.2,5.1,1.9,7,0.225,6,1,0,0.166666667,34.166667,7.333333,12.833333,0.571429,4.833333,6.833333,0.707317,2.5,6,0.416667,2,2.833333,0.705882,1.666667,3.833333,5.5,1.166667,0.166667,0.166667,0.333333,1.166667,19.166667,5.266667,0,-0.033333,-0.333333,-0.333333,27.73778129,0,0.001111089,0.111110889,0.111110889
1.138418539,Jerian Grant,2015,19,22.66666667,Guard,196,203,38,1,37.1,5.4,11.2,0.478,4.1,7.1,0.572,1.3,4.2,0.316,4.5,5.7,0.78,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5,7.02,0.592,0.536,0.37,0.511,5.1,33.6,1.4,13.4,24.2,6.1,1.6,7.7,0.218,4,0,0,0.25,41.25,4.75,11.5,0.413043,4,8,0.5,0.75,3.5,0.214286,4,5,0.8,0.75,2.25,3,6.75,1.5,0,2.25,1.25,14.25,-2.25,0,0.05,-0.2,-0.5,5.0625,0,0.0025,0.04,0.25
1.557590448,Delon Wright,2015,20,23.16666667,Guard,196,178,35,1,33.3,4.7,9.3,0.509,4,7.2,0.554,0.7,2.1,0.356,4.4,5.2,0.836,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5,7.42,0.619,0.549,0.225,0.565,9.3,33,3.2,14.2,22.8,5.3,3.1,8.4,0.289,3,0,0,0.333333333,35.666667,2.666667,9,0.296296,2.666667,8,0.333333,0,1,0,5.666667,6.666667,0.85,1.333333,4.333333,5.666667,3,2.333333,0.333333,3.666667,3,11,-3.5,0.766667,-2.1,0.233333,-0.666667,12.25,0.587778289,4.41,0.054444289,0.444444889
0.42237558,Justin Anderson,2015,21,21.58333333,Guard,198,227,26,0.846153846,27.8,4,8.5,0.466,2.2,4.5,0.479,1.8,4,0.452,2.5,3.2,0.78,0.7,3.4,4,1.7,0.7,0.5,1.2,1.2,12.2,7.81,0.61,0.572,0.471,0.371,9,14,2.5,10.7,23.3,2.5,1.8,4.4,0.241,2,0,0,0.25,25.5,3,6.5,0.461538,2.5,3.5,0.714286,0.5,3,0.166667,5,7,0.714286,0,3,3,0.5,0.5,0.5,1.5,1.5,11.5,-0.7,-1,-1.2,-0.2,0,0.49,1,1.44,0.04,0
0.51150336,Rondae Hollis-Jefferson,2015,23,20.41666667,Forward,201,215,38,0.657894737,28.7,3.6,7.2,0.502,3.5,6.5,0.537,0.2,0.8,0,3.8,5.4,0.707,2,4.8,6.8,1.6,1.2,0.8,1.6,2.5,11.2,7.41,0.573,0.513,0.105,0.745,14.8,10.1,3.4,13.7,20.5,3.1,2.9,5.9,0.218,4,0,0,0.25,31.25,4.25,9.25,0.459459,4.25,8.5,0.5,0,0.75,0,5.5,7,0.785714,2.5,5,7.5,1.75,1,0.25,1,3.75,14,2.8,0.7,0.15,-0.2,-0.55,7.84,0.49,0.0225,0.04,0.3025
-0.024097552,Jarell Martin,2015,25,21.08333333,Forward,208,236,33,0.96969697,35.1,6.1,12,0.509,5.7,10.5,0.545,0.4,1.6,0.269,4.2,6.2,0.69,3,6.3,9.2,1.8,1.2,0.7,2.8,2.8,16.9,5.63,0.565,0.526,0.131,0.511,14.1,10.5,1.8,15.7,24.8,2.7,2.4,5.1,0.174,1,0,0,1,40,6,13,0.461538,6,12,0.5,0,1,0,4,6,0.666667,2,9,11,4,1,0,1,2,16,-0.9,1.8,2.2,-0.2,-0.7,0.81,3.24,4.84,0.04,0.49
1.781846553,Larry Nance Jr.,2015,27,22.41666667,Forward,203,235,31,0.967741935,34.9,6,11.6,0.514,5.5,10.3,0.538,0.5,1.4,0.333,3.7,4.7,0.786,1.4,5.8,7.2,2.5,1.2,1.2,2.3,2.2,16.1,-0.04,0.581,0.533,0.117,0.403,14.1,20,4.3,14,28.5,2.8,2.6,5.4,0.199,1,0,0,1,37,6,11,0.545455,4,8,0.5,2,3,0.666667,2,4,0.5,2,5,7,2,0,2,4,4,16,-0.1,-0.2,-0.5,-1.2,0.8,0.01,0.04,0.25,1.44,0.64
1.997366179,Montrezl Harrell,2015,32,21.41666667,Forward,203,235,35,1,35.1,6.1,10.7,0.566,5.8,9.7,0.602,0.3,1.1,0.243,3.3,5.5,0.597,3.2,6,9.2,1.4,0.9,1.2,2,2.1,15.7,8.98,0.588,0.578,0.098,0.508,14.5,9.2,3.7,12.9,22.3,3.6,3,6.6,0.214,4,0,0,0.25,39,5.75,10.75,0.534884,5.75,10.75,0.534884,0,0,0,4,5.75,0.695652,2,4.5,6.5,2.5,0.25,1,1.5,1.25,15.5,-0.2,-2.7,1.1,-0.65,-0.2,0.04,7.29,1.21,0.4225,0.04
1.596129407,Richaun Holmes,2015,37,21.66666667,Forward,203,245,31,0.967741935,28.8,5.3,9.5,0.563,4.7,8.1,0.588,0.6,1.4,0.419,3.5,4.9,0.712,2.8,5.2,8,0.8,0.7,2.7,1.9,2.5,14.7,-1.25,0.625,0.594,0.147,0.522,16.3,7.2,11.2,14.1,25.6,3.2,2,5.1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.767661918,Josh Richardson,2015,40,21.75,Guard,198,200,32,1,36.3,5.8,12.5,0.461,4.3,8.5,0.509,1.4,4,0.359,3.1,3.9,0.798,0.9,3.6,4.5,3.6,2.1,0.5,2.7,2.5,16,8.16,0.56,0.519,0.321,0.311,7.8,24.4,2,15.7,25.5,3.2,1.4,4.6,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
