Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
6.818478261,1997,Derek Anderson,13,22.91666667,1997,Forward,196,194,1.010309278,19,5.8,11.9,0.491,3.8,6.9,0.553,2,4.9,0.404,4.1,5,0.811,4.1,3.5,1.9,0.1,17.7,9.2,0.621,0.575,0.416,0.42,2.5,1.4,3.9
2.472058824,1997,Maurice Taylor,14,20.66666667,1997,Forward,206,260,0.792307692,35,4.9,9.7,0.507,4.9,9.6,0.512,0,0.1,0,2.4,3.3,0.718,6.2,1.1,0.7,0.9,12.3,10.53,0.543,0.509,0.015,0.343,1.9,2.1,4
4.300699301,1997,Kelvin Cato,15,22.83333333,1997,Center,211,255,0.82745098,28,4.6,11.2,0.408,4.6,11.2,0.409,0,0,0,2.2,4,0.54,8.4,0.5,0.9,4.2,11.3,6.3,0.431,0.408,0.003,0.36,-0.7,4.4,3.7
2.78128655,1997,Brevin Knight,16,21.58333333,1997,Guard,178,173,1.028901734,30,4.6,11.4,0.408,3.1,7.7,0.407,1.5,3.7,0.409,5.5,6.6,0.834,3.7,7.8,2.8,0.1,16.3,9.05,0.561,0.474,0.323,0.584,2.6,2.6,5.2
0,1997,Johnny Taylor,17,23,1997,Forward,206,220,0.936363636,35,6.1,12.6,0.486,5.3,9.8,0.542,0.8,2.8,0.289,3.5,5.3,0.665,7.3,2.1,1.2,0.8,16.5,-5.21,0.548,0.518,0.22,0.42,2.7,3.6,6.3
6.088412017,1997,Scot Pollard,19,22.33333333,1997,Center,211,265,0.796226415,28,3.4,6.4,0.528,3.3,6.3,0.525,0,0,0,3.5,5,0.707,8.3,0.7,1.3,2.6,10.3,7.94,0.589,0.531,0.006,0.787,1.7,3.7,5.3
0,1997,Paul Grant,20,23.41666667,1997,Center,213,245,0.869387755,28,4.6,9.3,0.494,4.6,9.3,0.496,0,0,0,3.3,4.6,0.713,5.2,0.8,0.5,1.2,12.5,9.41,0.543,0.494,0.004,0.494,1.9,2.5,4.4
0,1997,Anthony Parker,21,22,1997,Guard,198,215,0.920930233,21,5.2,12.2,0.424,3.8,7.5,0.51,1.4,4.8,0.29,4.8,6.7,0.721,5.3,3.4,1.8,0.5,16.6,3.39,0.538,0.481,0.389,0.545,1.7,1.4,3.1
0,1997,Ed Gray,22,21.75,1997,Guard,190,210,0.904761905,26,8.6,18.7,0.461,7.2,13.8,0.517,1.5,4.8,0.302,6.1,7.7,0.79,4,2.2,1.7,0.2,24.8,10.03,0.554,0.5,0.259,0.412,3.1,1.4,4.5
0,1997,Bobby Jackson,23,24.25,1997,Guard,185,185,1,35,5.5,12.4,0.441,4.6,9.6,0.476,0.9,2.8,0.32,3.5,4.4,0.786,6.1,4,2.1,0.2,15.3,9.2,0.528,0.477,0.224,0.356,2.1,3.4,5.4
0,1997,Rodrick Rhodes,24,23.75,1997,Forward,198,225,0.88,25,4.6,10.2,0.447,3.4,7,0.483,1.2,3.2,0.37,3.7,6.2,0.597,4.9,4.2,1.6,0.3,14,10.09,0.533,0.506,0.318,0.604,1.3,1.1,2.4
0,1997,John Thomas,25,21.75,1997,Forward,206,265,0.777358491,35,3.6,6.2,0.576,3.6,6.2,0.579,0,0,0,1.9,3.3,0.574,6.3,1.1,0.9,1.5,9,9.2,0.582,0.576,0.005,0.53,1.9,4.4,6.3
2.733333333,1997,Charles Smith,26,21.83333333,1997,Guard,193,194,0.994845361,33,6.2,13.5,0.457,4.1,7.9,0.519,2,5.5,0.368,3.2,4.2,0.748,5.5,2.8,1.5,0.8,17.5,3.67,0.566,0.533,0.41,0.313,3.2,2.3,5.4
2.338016529,1997,Jacque Vaughn,27,22.33333333,1997,Guard,185,190,0.973684211,26,3,7.1,0.427,2.3,5,0.466,0.7,2.1,0.333,3.4,4.3,0.779,2.4,6.2,1.8,0.2,10.2,7.94,0.553,0.476,0.292,0.611,1.4,1.7,3.1
